,delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,left_hand_rot_w,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,right_hand_rot_w
28,328.0,-1.0539,153.1248,-265.2998,-0.33313,0.044078,0.011804,0.941776,-30.5658,137.23909999999998,-281.6558,-0.562879,-0.021227,-0.097308,-0.820517,29.0348,128.8244,-282.283,-0.400965,0.133893,-0.035607,-0.905556
29,338.0,-1.0505,153.26229999999998,-265.0528,-0.331836,0.044853,0.011403,0.942201,-30.3095,137.3437,-281.6062,-0.571066,-0.0154759999999999,-0.094575,-0.815292,28.9626,129.0608,-282.2667,-0.404359,0.13414,-0.0264009999999999,-0.904325
30,349.0,-1.0456999999999999,153.3905,-264.8046,-0.330331,0.045687,0.010953,0.942695,-30.0466,137.40429999999998,-281.6144,-0.577062,-0.009391,-0.091389,-0.811517,28.878300000000003,129.2942,-282.3091,-0.40748,0.1340309999999999,-0.018661,-0.903132
31,361.0,-1.03959999999999,153.4878,-264.5743,-0.32965,0.046696,0.010489,0.942889,-29.689299999999992,137.3771,-281.601,-0.5800850000000001,-0.004038,-0.08223,-0.810385,28.7244,129.3164,-282.346,-0.4077969999999999,0.1330579999999999,-0.010225,-0.903268
32,372.0,-1.0357,153.5972,-264.3505,-0.3285349999999999,0.047479,0.010083,0.943244,-29.3574,137.3196,-281.6513,-0.582585,0.001196,-0.072111,-0.8095640000000001,28.58,129.4265,-282.3918,-0.408679,0.132607,-0.004921,-0.90298
33,383.0,-1.0281,153.6968,-264.15340000000003,-0.327394,0.048211,0.009751,0.943607,-28.9302,137.10639999999998,-281.7202,-0.580088,0.005647,-0.056539,-0.81257,28.359499999999997,129.39860000000002,-282.4988,-0.407233,0.13136,-0.002423,-0.903825
34,394.0,-1.0223,153.8083,-263.98130000000003,-0.32565,0.048673,0.0094849999999999,0.944189,-28.5534,136.9511,-281.7853,-0.5788439999999999,0.010531,-0.0463639999999999,-0.814051,28.145500000000002,129.3953,-282.58610000000004,-0.406414,0.129845,-0.001413,-0.904415
35,405.0,-1.0086,153.9203,-263.8333,-0.323451,0.048874,0.009119,0.944938,-28.199099999999998,136.6418,-281.9417,-0.569504,0.014551,-0.03582,-0.8210790000000001,27.8107,129.2508,-282.7147,-0.4041889999999999,0.126157,-0.005698,-0.905916
36,416.0,-0.9948,154.029,-263.71330000000006,-0.320594,0.048854,0.008784,0.945915,-27.975699999999996,136.39159999999998,-282.2404,-0.55887,0.018397,-0.029026,-0.828543,27.4837,129.1351,-282.8178,-0.403065,0.122172,-0.008794,-0.906938
37,427.0,-0.9767,154.13940000000002,-263.5895,-0.317336,0.048625,0.008414,0.947029,-27.6462,136.11200000000002,-282.4049,-0.548085,0.021662,-0.021179,-0.835874,27.174100000000003,129.02960000000002,-282.9027,-0.402545,0.118344,-0.010492,-0.907658
38,438.0,-0.9661,154.25359999999998,-263.4918,-0.313485,0.048076,0.008072,0.948341,-27.3711,135.8234,-282.6794,-0.53668,0.024296,-0.015431,-0.8432950000000001,26.847500000000004,128.87630000000001,-282.96070000000003,-0.402256,0.1138869999999999,-0.012057,-0.908336
39,450.0,-0.9597,154.378,-263.41139999999996,-0.309332,0.047664,0.007852,0.949727,-27.0895,135.46009999999998,-282.9345,-0.521918,0.0257589999999999,-0.016686,-0.8524430000000001,26.525199999999998,128.73629999999997,-283.0209,-0.401756,0.110016,-0.013133,-0.909019
40,461.0,-0.94819999999999,154.4949,-263.3368,-0.305005,0.047299,0.007705,0.951144,-26.9156,135.0958,-283.28340000000003,-0.508653,0.027111,-0.0216349999999999,-0.860273,26.2092,128.59279999999998,-283.0724,-0.401632,0.107943,-0.0154169999999999,-0.909287
41,472.0,-0.9390000000000001,154.61419999999998,-263.2643,-0.300888,0.04684,0.007904,0.952476,-26.738400000000002,134.74429999999998,-283.5842,-0.4961779999999999,0.0282149999999999,-0.023121,-0.8674540000000001,25.9061,128.4565,-283.1156,-0.401665,0.1057589999999999,-0.017375,-0.909494
42,483.0,-0.9319,154.7181,-263.2126,-0.297047,0.046464,0.008511,0.953694,-26.4991,134.4387,-283.7725,-0.484813,0.027851,-0.018618,-0.873976,25.64599999999999,128.3663,-283.0992,-0.403671,0.107402,-0.019668,-0.908365
43,494.0,-0.91939999999999,154.8102,-263.15110000000004,-0.293825,0.046369,0.009457,0.954687,-26.218799999999998,134.10879999999997,-283.9386,-0.475101,0.027832,-0.013711,-0.879384,25.3641,128.22910000000002,-283.1231,-0.40437,0.107115,-0.020288,-0.908075
44,505.0,-0.9128000000000001,154.895,-263.08130000000006,-0.291132,0.046194,0.01039,0.95551,-25.982300000000002,133.8508,-284.0052,-0.471369,0.027238,-0.011915,-0.8814350000000001,25.1274,128.15859999999998,-283.1429,-0.4046,0.107251,-0.018178,-0.908001
45,517.0,-0.9067000000000001,154.9704,-263.0023,-0.289244,0.046251,0.0117209999999999,0.956066,-25.7925,133.6284,-284.00419999999997,-0.473437,0.028856,-0.010961,-0.880287,24.88679999999999,128.0483,-283.1841,-0.403876,0.106164,-0.0137449999999999,-0.908529
46,528.0,-0.9056999999999901,155.0388,-262.9198,-0.287966,0.046508,0.012978,0.956423,-25.5092,133.4377,-283.9197,-0.477008,0.0300839999999999,-0.003674,-0.8783770000000001,24.644,127.9495,-283.24150000000003,-0.402479,0.104229,-0.00856,-0.909436
47,539.0,-0.9047,155.1123,-262.83750000000003,-0.28656,0.046696,0.0140919999999999,0.95682,-25.2701,133.3041,-283.8168,-0.481066,0.0308449999999999,0.000938,-0.876141,24.4166,127.89950000000002,-283.3078,-0.401082,0.1010669999999999,-0.00286,-0.910445
48,550.0,-0.9084,155.197,-262.767,-0.28492,0.047139,0.015109,0.957272,-25.072699999999998,133.1414,-283.8003,-0.482707,0.031851,0.003345,-0.8751959999999999,24.1725,127.81750000000001,-283.3617,-0.4001659999999999,0.097734,0.001392,-0.911215
49,561.0,-0.90879999999999,155.291,-262.7072,-0.282696,0.047449,0.015903,0.957903,-24.889299999999988,133.0243,-283.71880000000004,-0.484862,0.034138,0.0065299999999999,-0.8739,23.9305,127.7913,-283.4346,-0.399387,0.092988,0.004236,-0.912044
50,572.0,-0.9167,155.3913,-262.6692,-0.2800559999999999,0.047758,0.016479,0.958654,-24.66159999999999,132.88500000000002,-283.6972,-0.48368,0.036445,0.010973,-0.874417,23.6753,127.76040000000002,-283.4898,-0.399579,0.088469,0.003747,-0.912412
51,583.0,-0.9196,155.4915,-262.6248,-0.276855,0.047901,0.016804,0.95957,-24.499399999999998,132.7909,-283.74060000000003,-0.4817329999999999,0.038618,0.013899,-0.8753559999999999,23.4207,127.7569,-283.53040000000004,-0.400602,0.084391,0.000946,-0.912357
52,595.0,-0.9367000000000001,155.5929,-262.59990000000005,-0.273603,0.048003,0.017213,0.96049,-23.81909999999999,132.4623,-283.26709999999997,-0.480495,0.039751,0.020037,-0.8758670000000001,23.17449999999999,127.7617,-283.5754,-0.401561,0.080871,-0.001798,-0.912253
53,605.0,-0.9599,155.6868,-262.5759,-0.270491,0.04849,0.01771,0.961338,-23.612199999999987,132.3855,-283.3498,-0.477521,0.038733,0.033093,-0.877142,22.9512,127.7974,-283.6144,-0.403285,0.078063,-0.0066599999999999,-0.911714
54,616.0,-0.9875,155.775,-262.5427,-0.267702,0.049404,0.0184539999999999,0.962058,-23.4736,132.3051,-283.4446,-0.4746039999999999,0.038712,0.040161,-0.8784299999999999,22.7512,127.8308,-283.6547,-0.404655,0.0758669999999999,-0.010362,-0.911258
55,628.0,-1.0331,155.8496,-262.5015,-0.265152,0.051175,0.019448,0.962651,-23.3429,132.2258,-283.5167,-0.472392,0.0396069999999999,0.046064,-0.879292,22.561999999999998,127.878,-283.7064,-0.405476,0.07374,-0.013335,-0.911029
56,639.0,-1.0845,155.91219999999998,-262.4658,-0.262945,0.0537789999999999,0.020621,0.96309,-23.2786,132.13700000000003,-283.66220000000004,-0.470305,0.040925,0.051951,-0.880023,22.4057,127.9299,-283.7616,-0.405909,0.072005,-0.015882,-0.910934
57,650.0,-1.1458,155.9623,-262.42040000000003,-0.261133,0.056725,0.021717,0.96339,-23.16219999999999,132.0629,-283.7342,-0.468497,0.041352,0.05905,-0.880519,22.234,127.9841,-283.8099,-0.406357,0.070065,-0.018017,-0.910846
58,661.0,-1.2259,155.9956,-262.37669999999997,-0.260013,0.060348,0.023072,0.963441,-23.0562,131.9902,-283.73940000000005,-0.468854,0.038493,0.070409,-0.8796229999999999,22.1067,128.04569999999998,-283.86150000000004,-0.4065809999999999,0.06852,-0.019643,-0.91083
59,672.0,-1.3181,156.0094,-262.3324,-0.259414,0.064815,0.0247669999999999,0.963271,-22.9987,131.9423,-283.7676,-0.469865,0.03448,0.081635,-0.878279,21.9806,128.1174,-283.90110000000004,-0.407096,0.066876,-0.021018,-0.910691
60,683.0,-1.4184,156.0113,-262.2898,-0.258942,0.06945,0.026794,0.96302,-23.0227,131.91230000000002,-283.7996,-0.471077,0.0288,0.092871,-0.8767159999999999,21.8557,128.1839,-283.9309,-0.407823,0.065084,-0.022276,-0.910466
61,693.0,-1.5303,155.9877,-262.24280000000005,-0.259362,0.074928,0.029247,0.962425,-23.0396,131.88219999999998,-283.8338,-0.47153,0.02384,0.101628,-0.87565,21.7574,128.2583,-283.9472,-0.4088739999999999,0.062794,-0.023046,-0.910136
62,705.0,-1.6536,155.9393,-262.19890000000004,-0.260338,0.0808909999999999,0.031859,0.961596,-23.2025,131.8756,-283.8655,-0.472004,0.017043,0.106076,-0.875025,21.6482,128.3254,-283.95570000000004,-0.4100359999999999,0.0605259999999999,-0.024484,-0.909729
63,716.0,-1.7794,155.8801,-262.1506,-0.261814,0.086984,0.034378,0.960576,-23.41889999999999,131.8847,-283.9103,-0.4710479999999999,0.009364,0.108165,-0.875401,21.5429,128.40259999999998,-283.95980000000003,-0.411435,0.058122,-0.0270279999999999,-0.909182
64,727.0,-1.9173,155.7791,-262.09839999999997,-0.264063,0.0937009999999999,0.036805,0.959238,-23.683899999999998,131.8985,-283.9697,-0.4692949999999999,0.000386,0.111997,-0.8759110000000001,21.447,128.4823,-283.9449,-0.41301,0.0558679999999999,-0.030726,-0.908492
65,738.0,-2.0607,155.6759,-262.04200000000003,-0.266753,0.100479,0.0391629999999999,0.957712,-23.9833,131.9129,-284.0265,-0.467751,-0.009603,0.117249,-0.8759969999999999,21.3501,128.5472,-283.9146,-0.414893,0.053845,-0.035598,-0.907578
66,749.0,-2.2058,155.5593,-261.9873,-0.2710849999999999,0.107682,0.041594,0.955608,-24.354899999999997,131.9716,-284.0357,-0.466948,-0.023063,0.1232569999999999,-0.8753489999999999,21.2551,128.6109,-283.88100000000003,-0.416777,0.051881,-0.041183,-0.906592
67,760.0,-2.3648,155.4565,-261.9223,-0.274021,0.11473,0.043368,0.95387,-24.8326,132.0508,-283.9803,-0.46793,-0.038784,0.1254819999999999,-0.8739520000000001,21.16719999999999,128.6649,-283.8378,-0.41875,0.050161,-0.04657,-0.905518
68,771.0,-2.5202,155.335,-261.8652,-0.27648,0.122569,0.04526,0.952096,-25.3384,132.16639999999998,-283.8331,-0.470405,-0.0545159999999999,0.122777,-0.872166,21.08679999999999,128.71300000000002,-283.7656,-0.420886,0.04881,-0.052666,-0.904267
69,783.0,-2.6844,155.233,-261.8234,-0.279463,0.129743,0.047302,0.950174,-25.9343,132.2819,-283.68760000000003,-0.4731359999999999,-0.070124,0.1152599999999999,-0.870597,21.0287,128.7356,-283.6933,-0.422937,0.047668,-0.058236,-0.903028
70,794.0,-2.8288,155.1359,-261.7729,-0.282534,0.13651,0.04863,0.948248,-26.469199999999997,132.3683,-283.5656,-0.474803,-0.084684,0.1094349999999999,-0.8691459999999999,20.9837,128.74460000000002,-283.6226,-0.42449,0.046406,-0.0626289999999999,-0.902071
71,805.0,-2.9822,155.0329,-261.7268,-0.285976,0.142925,0.049796,0.946208,-27.107799999999997,132.4661,-283.3931,-0.475909,-0.102222,0.1021,-0.8675459999999999,20.9538,128.7275,-283.54810000000003,-0.42551,0.045202,-0.066207,-0.901396
72,816.0,-3.1249,154.9372,-261.6765,-0.288898,0.149097,0.05068,0.94432,-27.716,132.5179,-283.23560000000003,-0.4744,-0.121057,0.098907,-0.866318,20.9175,128.7102,-283.4987,-0.426212,0.04407,-0.069491,-0.900873
