delta_time_ms,delta_time_s,head_pos_x,head_pos_y,head_pos_z,head_rot_w,head_rot_x,head_rot_y,head_rot_z,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_w,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_w,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z
856.3999999998941,0.8563999999998941,-5.780447,151.1492,-267.6751,-0.9991499,-0.01427248,0.03750005,0.009469516,-14.33933,135.5778,-303.6052,0.8057369,0.5366216,-0.1657201,0.1880487,,,,,,,
870.3999999999041,0.8703999999999041,-5.755627,151.1422,-267.6546,-0.9990661,-0.01513393,0.03920273,0.01005125,-14.29143,135.6744,-303.7185,0.8088062,0.5334892,-0.1647706,0.1845876,,,,,,,
882.9999999999245,0.8829999999999245,-5.7301400000000005,151.1374,-267.634,-0.9989724,-0.01572061,0.04105562,0.01102519,-14.12483,135.754,-303.6586,0.8139826,0.5276864,-0.1589994,0.1835719,,,,,,,
897.4999999999227,0.8974999999999227,-5.70873,151.1382,-267.6128,-0.9988645,-0.01587787,0.04316787,0.0124148,-13.94057,135.8536,-303.8288,0.8232051,0.5182731,-0.1459915,0.1800355,,,,,,,
912.2999999999593,0.9122999999999593,-5.684876,151.1512,-267.5877,-0.9987612,-0.01615859,0.04505607,0.01359739,-13.769319999999999,135.9718,-304.0195,0.8318061,0.5089505,-0.1339422,0.1764299,,,,,,,
926.8999999999324,0.9268999999999324,-5.665469,151.1601,-267.5711,-0.9986385,-0.01666255,0.04708481,0.01505883,-13.721729999999999,135.8439,-304.2701,0.8378663,0.5026277,-0.1249471,0.1724344,,,,,,,
939.3999999999778,0.9393999999999778,-5.652142,151.1601,-267.5512,-0.9985201,-0.01708033,0.04906399,0.01608136,-13.699580000000001,135.8495,-304.55260000000004,0.8437723,0.4965598,-0.1129864,0.169443,,,,,,,
952.799999999911,0.952799999999911,-5.641341,151.1539,-267.5349,-0.9983948,-0.01732329,0.05123788,0.01680667,-13.693430000000001,135.7612,-304.6407,0.8475665,0.4927828,-0.1051889,0.1665279,,,,,,,
967.0999999999594,0.9670999999999594,-5.634069,151.1471,-267.51689999999996,-0.9982838,-0.01726689,0.05320579,0.01733857,-13.68521,135.69219999999999,-304.74399999999997,0.8513689,0.4887666,-0.09762046,0.1635493,,,,,,,
981.6999999999324,0.9816999999999324,-5.632186,151.1498,-267.5029,-0.9981879,-0.0171359,0.05492113,0.01763511,-13.69209,135.71880000000002,-304.7457,0.8572592,0.4820833,-0.08864594,0.1576208,,,,,,,
995.2999999999292,0.9952999999999292,-5.630946,151.1608,-267.48150000000004,-0.9981103,-0.016907,0.0563558,0.01772108,-13.677220000000002,135.79760000000002,-304.71819999999997,0.8637083,0.4730373,-0.08100343,0.1538898,,,,,,,
1008.899999999926,1.008899999999926,-5.6280730000000005,151.1656,-267.4703,-0.9980308,-0.01734874,0.05753941,0.01797111,-13.661529999999999,135.8795,-304.70619999999997,0.8698754,0.4640845,-0.0734823,0.1501421,,,,,,,
1022.0999999999094,1.0220999999999094,-5.628407,151.16830000000002,-267.46,-0.9979526,-0.0179007,0.05854741,0.0185071,-13.55319,135.912,-304.6162,0.8731076,0.4602498,-0.06491053,0.1471047,,,,,,,
1036.899999999946,1.036899999999946,-5.629230000000001,151.1762,-267.449,-0.9978848,-0.01817713,0.05943187,0.01906625,-13.495190000000001,135.9114,-304.5644,0.8743932,0.4586743,-0.06093782,0.1460855,,,,,,,
1050.899999999956,1.050899999999956,-5.637062,151.1884,-267.4358,-0.997818,-0.01891704,0.06021186,0.01938782,-13.43906,135.9172,-304.5237,0.875882,0.4567347,-0.05681762,0.1448993,,,,,,,
1064.799999999991,1.064799999999991,-5.650258,151.1919,-267.4188,-0.9977649,-0.01963406,0.06080034,0.01957315,-13.465910000000001,135.9343,-304.4023,0.87795,0.455073,-0.04950252,0.1402209,,,,,,,
1077.6999999999362,1.0776999999999362,-5.666268,151.1828,-267.4031,-0.9977222,-0.02018718,0.0612798,0.01969068,-13.52401,136.0031,-304.3465,0.8787344,0.4529721,-0.05097726,0.1415749,,,,,,,
1091.5999999999713,1.0915999999999713,-5.655861,151.18339999999998,-267.3818,-0.9976992,-0.02027732,0.06160016,0.0197628,-13.576469999999999,136.0718,-304.2978,0.8796805,0.4506746,-0.05199289,0.1426586,,,,,,,
1105.899999999906,1.105899999999906,-5.680978,151.1797,-267.36469999999997,-0.9976697,-0.02010904,0.0620045,0.02015414,-13.647170000000001,136.1246,-304.2624,0.8779675,0.4537565,-0.05332777,0.1429484,,,,,,,
1120.2999999999292,1.1202999999999292,-5.7051419999999995,151.1737,-267.3489,-0.9976229,-0.02018318,0.06257642,0.02062765,-13.71828,136.1313,-304.2224,0.8741564,0.458546,-0.06053922,0.1480581,,,,,,,
1133.299999999963,1.133299999999963,-5.721318999999999,151.1653,-267.3279,-0.9975641,-0.02048201,0.06335671,0.02079421,-13.785020000000001,136.1418,-304.186,0.8706744,0.462714,-0.06706226,0.1527237,,,,,,,
1148.7999999999374,1.1487999999999374,-5.721056,151.1567,-267.2939,-0.9974936,-0.02076435,0.06445671,0.02051039,-13.83065,136.1269,-304.1196,0.8659934,0.4672757,-0.07698619,0.1605682,,,,,,,
1163.699999999949,1.1636999999999489,-5.722332,151.1432,-267.2614,-0.9974141,-0.02039438,0.06578777,0.02052414,-13.89551,136.0398,-304.0362,0.860916,0.4725559,-0.08617574,0.1675956,,,,,,,
1177.2999999999456,1.1772999999999456,-5.722404,151.1383,-267.2311,-0.9973321,-0.02000116,0.06704471,0.02082738,-13.91919,135.96269999999998,-303.8946,0.8546424,0.4820381,-0.09224197,0.1694617,,,,,,,
1189.9999999999409,1.1899999999999409,-5.717063,151.1304,-267.1968,-0.997228,-0.01983581,0.06845903,0.02135997,-13.94303,135.8922,-303.7604,0.8486046,0.4908489,-0.09800038,0.1712707,,,,,,,
1203.4999999999627,1.2034999999999627,-5.710006,151.1249,-267.16069999999996,-0.9970936,-0.01962505,0.07021685,0.02211271,-13.96878,135.8495,-303.6738,0.845303,0.4941645,-0.1043451,0.1742885,,,,,,,
1217.999999999961,1.217999999999961,-5.68645,151.1172,-267.1146,-0.9969513,-0.01938824,0.07219565,0.02235926,-13.98075,135.8629,-303.6212,0.8441805,0.4949159,-0.1085533,0.175025,,,,,,,
