delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,head_rot_w,left_hand_rot_w,right_hand_rot_w
626,33.40607,162.166,1096.544,0.4631175761992129,0.2402330822614432,-0.6201330931141927,4.044342,119.4309,1085.5259999999998,-0.2617150795674952,-0.3410139501354508,0.062397875769189176,41.98112,83.22011,1098.077,0.5106074636816507,0.3791596688298514,-0.5271901949058971,0.5858712517500383,0.90073370539771,0.5635498753087533
640,33.37975,162.3159,1096.509,0.46007120227772147,0.23330844560657155,-0.6218798658389892,4.068375,119.5914,1085.402,-0.2608389505549514,-0.33990758088947215,0.059668158212594885,42.06505,83.29978,1098.104,0.5100781909124791,0.3924377523446394,-0.5233929182951206,0.5892088683204438,0.9015905884728254,0.5584556408244591
654,33.32634,162.492,1096.532,0.4570596705030542,0.22869341492896575,-0.6228751490715102,4.090118,119.7729,1085.278,-0.262494185143576,-0.337527566066436,0.05990161201313618,42.101290000000006,83.47449999999999,1098.077,0.510565216639574,0.3948033838533696,-0.522899897500694,0.5923025647732004,0.9019887703232814,0.5568026085153315
671,33.24547,162.7292,1096.487,0.45404117130043625,0.22542706121787626,-0.6234445252992459,4.107285,119.951,1085.169,-0.264192810268087,-0.3356703036557937,0.061615879560250275,42.09251,83.75459,1097.962,0.5130047493809894,0.38202381936544305,-0.5273842192663954,0.5952698368884465,0.9020704460474773,0.5592403900102013
683,33.155820000000006,162.946,1096.413,0.45144961935585337,0.22252132742743239,-0.6237411158584997,4.104233,120.1194,1085.068,-0.2682635805035796,-0.3337039998684532,0.06708719083537507,42.08908,84.04583,1097.801,0.5146337111437459,0.3703287581986179,-0.532315208375967,0.5980171572881353,0.9012078565308964,0.5609360686719443
696,33.02994,163.2437,1096.3200000000002,0.4487977549858965,0.21755623155600062,-0.6243683570799301,4.093933000000001,120.2608,1084.966,-0.2762347216513955,-0.3300704800632748,0.07476382108016998,42.11082,84.41204,1097.595,0.5197032967888006,0.35758180972596415,-0.5393429062251389,0.6011771917730082,0.899532227217273,0.5578108659434463
710,32.91569,163.5545,1096.204,0.4462298593894227,0.2097148062521182,-0.6254283264095141,4.05407,120.3661,1084.857,-0.28616209897623057,-0.3253462373620487,0.08340788909513093,42.11235,84.81994,1097.373,0.5240146200497525,0.3419198687249381,-0.5461984669749023,0.6047627808922494,0.8973874319270188,0.5569261315645917
724,32.83653,163.8411,1096.072,0.4434870149460787,0.1981589038124432,-0.6267466037111984,3.986359,120.4298,1084.731,-0.29459712933548043,-0.32102133386503084,0.08955265484479828,42.05055,85.35026,1097.047,0.5258887277322243,0.32258851004946865,-0.5517241827562103,0.6092955039638366,0.895621659296524,0.5612291202265242
738,32.70683,164.1959,1095.929,0.4404355560795996,0.18339056582779473,-0.6280965095908032,3.893661,120.4588,1084.586,-0.29955408428326763,-0.3178625094767524,0.09183352183969552,41.95175,85.88957,1096.71,0.5264141680817173,0.3008861564294319,-0.5554712264817372,0.6147187942027356,0.8948728289119481,0.5690407376127229
752,32.55501,164.5589,1095.797,0.43690538388831746,0.16543904875523835,-0.629167866398463,3.785324,120.4726,1084.437,-0.30276390646044066,-0.31481615586947176,0.09161728027050052,41.75949,86.57568,1096.277,0.5242148919761583,0.26685628802635974,-0.5580109610089904,0.6212015796566921,0.8948916576347209,0.5853291688998938
