,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,left_hand_rot_w,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,right_hand_rot_w,delta_time_ms
715,-50.48971,206.9293,8.835632,0.03592756,-0.7121258,-0.07138918,-0.6974881,-108.29299999999999,169.8834,5.644774,0.2849317,-0.03380524,0.8894203,-0.3558129,-42.61,158.01909999999998,-34.97059,-0.2521574,-0.2123003,-0.337599,-0.8816872,493.33333333333337
716,-50.22266,206.80550000000002,8.844608,0.03491795,-0.7122457,-0.07022811,-0.6975348,-109.2263,169.8599,6.60342,0.297233,0.001624599,0.8980132,-0.3243798,-40.542410000000004,160.5721,-35.96039,-0.2838136,-0.1750799,-0.3268536,-0.8842871,506.6666666666667
717,-49.95079,206.6915,8.83159,0.03277206,-0.712079,-0.06968215,-0.6978638,-109.9189,169.8724,7.713675,0.3064299,0.04201009,0.903876,-0.2955404,-38.49728,163.33200000000002,-36.74968,-0.3131557,-0.1418768,-0.3151892,-0.8845679,520.0
718,-49.73445,206.5674,8.823782,0.02911418,-0.7117844,-0.07053213,-0.6982411,-110.395,169.9471,8.950096,0.3179539,0.0894492,0.9027854,-0.2754683,-36.51397,166.2248,-37.35662,-0.3456347,-0.1061575,-0.3132957,-0.8781304,533.3333333333334
719,-49.53754,206.4883,8.849269,0.0251779,-0.7115659,-0.07235582,-0.6984302,-110.7111,170.0755,10.23679,0.3291971,0.1326494,0.89699,-0.2635191,-34.51807,169.2416,-37.75942,-0.3843598,-0.06148902,-0.3186006,-0.8642802,546.6666666666667
720,-49.31474,206.40939999999998,8.900082,0.0214199,-0.7117003,-0.07398185,-0.6982481,-110.8829,170.2511,11.509450000000001,0.3391066,0.1598653,0.8900206,-0.2594475,-32.512809999999995,172.3723,-37.924459999999996,-0.4297097,-0.0152953,-0.3196833,-0.8443449,560.0
721,-49.11282,206.3202,8.934414,0.01973931,-0.7117031,-0.0743266,-0.6982583,-110.88210000000001,170.4385,12.71186,0.3473314,0.1693561,0.8838748,-0.2635237,-30.54924,175.5323,-37.9015,-0.4699809,0.02795905,-0.3185242,-0.8227262,573.3333333333334
722,-48.90931,206.27800000000002,8.937454,0.02055287,-0.7110189,-0.07325257,-0.699045,-110.6412,170.5873,13.816909999999998,0.3551956,0.1674666,0.8766395,-0.2780184,-28.6514,178.748,-37.714769999999994,-0.504219,0.07263725,-0.3137852,-0.8012651,586.6666666666667
723,-48.76914,206.3428,8.958381,0.02242678,-0.709486,-0.07218663,-0.7006538,-110.1577,170.6808,14.79673,0.3668428,0.1601814,0.8673139,-0.2958628,-26.78142,182.02259999999998,-37.3318,-0.5343582,0.1180682,-0.2988353,-0.7818048,600.0
724,-48.65575,206.4616,9.023613,0.02232209,-0.7080646,-0.07328885,-0.7019793,-109.4949,170.7253,15.588859999999999,0.3743761,0.1524636,0.8619676,-0.3059562,-24.95196,185.3472,-36.71436,-0.5660003,0.1603849,-0.2728953,-0.7612152,613.3333333333334
