delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,head_rot_w,left_hand_rot_w,right_hand_rot_w
10208.984,-15.149,177.32,-14.739,0.019984150987949097,-0.03775007463064133,0.01882498967824384,-22.072,93.534,18.453,0.09008354189350062,0.32365273927139043,0.14627050459774696,24.646,158.575,13.269,-0.23598252898891,-0.17277257123672518,-0.5654979965481756,0.998909998617636,0.9304508580934127,0.7711510231726655
10222.412,-15.339,177.265,-14.706,0.011526469132465656,-0.04175989733030021,0.013887096591400928,-21.867,87.36,13.076,0.2535522242953612,0.31451869367110474,0.31917335450460926,19.529,151.518,18.577,-0.27738047931195176,0.04177857357505012,-0.4912204178508851,0.9989646640560226,0.8572733698538476,0.824631506536773
10236.084,-15.51,177.195,-14.704,0.009139014011991785,-0.04639693554634778,0.009139014011991789,-22.164,83.869,7.867,0.24647514506281532,0.41205115422210925,0.28942267803010613,14.511,142.923,23.999,-0.1560621823946709,0.17749430513035097,-0.32910607080586457,0.9988394671906418,0.82806905666881,0.9142371470418557
10250.488,-15.636,177.004,-14.776,0.009130422347690976,-0.052335665256891865,0.007898356807392141,-23.058,81.786,3.115,0.4557968856119763,0.23386579143414604,0.4979719211219876,9.128,134.557,28.344,-0.08537905436744875,0.10186881407406834,-0.2482923379719207,0.9985565730040609,0.6996999045572184,0.9595228380288302
10263.672,-15.754,176.767,-14.879,0.007210851428544824,-0.058423124790523,0.011000974248670414,-24.847,83.154,-0.017,0.4723248811659221,-0.06205825717135893,0.5462237989979879,2.101,122.521,31.71,-0.16162985605069802,-0.03234105595329453,-0.098958029723854,0.998205249774297,0.6889829756653332,0.9813445644043837
10277.588,-15.839,176.547,-15.015,0.003774056422662901,-0.06536254089354819,0.015463267056156442,-26.812,85.158,-1.136,0.38135204825141067,-0.16841757266239044,0.48446355668796387,-5.701,111.199,32.726,-0.2363448779706473,0.024001811393181506,0.059697670279239674,0.9977346250972791,0.769091151135033,0.9695365902688342
10291.504,-15.871,176.37,-15.169,0.0021368864399238796,-0.07034194802181921,0.016726143474456206,-29.035,87.221,-1.665,0.34110737840010924,-0.21538242645775207,0.44776823880431976,-14.661,99.972,30.798,-0.2333742452317879,0.1044204708817505,0.2333742452317879,0.9973804089660626,0.7979722871705842,0.9381733787450061
10305.42,-15.864,176.214,-15.354,-0.0001306652428133485,-0.0712682746790987,0.02117096587963133,-31.73,89.463,-1.596,0.3675922096388237,-0.19644303836318788,0.4498714935833699,-23.394,90.23,26.027,-0.23400721580817557,0.22042512149151883,0.37973766614976695,0.9972324734757599,0.789874508610421,0.8674403113023299
10319.336,-15.866,176.114,-15.569,-0.005187653616255914,-0.06788380614137424,0.03030379538981242,-34.972,91.494,-1.002,0.4039846356029975,-0.14049559340859402,0.4724680340354258,-30.832,83.211,14.796,-0.07924856570324645,0.4603465285090417,0.45939118952290736,0.9972194127165247,0.7706045414115984,0.7554869115427351
10333.252,-15.962,176.151,-15.716,-0.018122055826358122,-0.057931495545617925,0.04021967251168746,-38.132,93.058,-0.556,0.41721400881826853,-0.11016711799536878,0.48258946178874107,-34.943,79.069,4.906,0.5913304431487119,-0.16104200288919512,0.7859734657510128,0.9973454320643008,0.7621699865048727,-0.08148307460034816
