Unnamed: 0,delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,left_hand_rot_w,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,right_hand_rot_w
5896,499.00000000001455,38.5638,153.7492,-281.9655,-0.32936,-0.117669,0.003663,0.936837,24.7362,134.9809,-306.5298,-0.430425,0.362198,0.261971,-0.7841670000000001,57.133,108.9981,-322.495,0.0065879999999999,0.03758,0.181032,-0.982737
5897,512.0,38.5615,153.7522,-281.9448,-0.329309,-0.117657,0.003529,0.936856,24.665,134.99,-306.5252,-0.430183,0.361263,0.262283,-0.7846270000000001,57.2867,109.2118,-322.5723,0.003345,0.039335,0.176819,-0.983451
5898,521.0000000000073,38.5591,153.76000000000002,-281.9216,-0.329379,-0.1176369999999999,0.003449,0.936835,24.5946,135.0008,-306.5294,-0.429755,0.360357,0.2625909999999999,-0.785175,57.4907,109.5513,-322.6249,-0.002531,0.041916,0.1686369999999999,-0.984783
5899,533.0000000000073,38.553,153.7705,-281.89900000000006,-0.329437,-0.117692,0.003389,0.936808,24.5303,135.0086,-306.5231,-0.429386,0.359516,0.262914,-0.785654,57.7287,109.9431,-322.678,-0.008862,0.0453,0.161608,-0.985775
5900,544.0000000000073,38.5428,153.779,-281.88140000000004,-0.329362,-0.117794,0.003275,0.936821,24.4621,135.01299999999998,-306.5184,-0.428696,0.358905,0.263156,-0.786229,57.9958,110.3846,-322.7219,-0.015688,0.0494,0.158123,-0.986058
5901,555.0000000000073,38.5347,153.7879,-281.8577,-0.32919,-0.1179109999999999,0.003268,0.936867,24.3969,135.0114,-306.5166,-0.428127,0.3582889999999999,0.26333,-0.7867609999999999,58.2736,110.8425,-322.7628,-0.023023,0.053367,0.158856,-0.98559
5902,566.0000000000073,38.5243,153.7965,-281.8381,-0.328955,-0.117862,0.0036009999999999,0.936955,24.3269,135.0157,-306.5018,-0.42773,0.357667,0.2634869999999999,-0.787208,58.54050000000001,111.29129999999998,-322.78290000000004,-0.030117,0.056803,0.161251,-0.984817
5903,578.0000000000073,38.514,153.8059,-281.8161,-0.3287219999999999,-0.117835,0.004053,0.937038,24.259699999999988,135.01760000000002,-306.48,-0.427803,0.357137,0.263708,-0.787335,58.8328,111.8237,-322.7815,-0.038385,0.059872,0.167822,-0.983249
5904,589.0000000000073,38.506,153.8176,-281.79110000000003,-0.328471,-0.1175869999999999,0.004666,0.937154,24.20429999999999,135.0238,-306.4518,-0.427883,0.356534,0.263787,-0.787538,59.10569999999999,112.34170000000002,-322.7769,-0.04633,0.062817,0.172174,-0.981969
5905,600.0000000000073,38.4948,153.8268,-281.7667,-0.328305,-0.117317,0.0052439999999999,0.937243,24.1392,135.0356,-306.4174,-0.428322,0.355955,0.263636,-0.787612,59.3759,112.9727,-322.7061,-0.056052,0.065371,0.17325,-0.981106
5906,611.0000000000073,38.4826,153.8402,-281.7385,-0.328048,-0.117239,0.005792,0.93734,24.08489999999999,135.0362,-306.3807,-0.4286979999999999,0.355394,0.263347,-0.7877569999999999,59.6187,113.588,-322.645,-0.06575,0.067376,0.170485,-0.980853
5907,622.0000000000073,38.4764,153.8552,-281.7034,-0.327807,-0.117328,0.0060409999999999,0.937411,24.028,135.043,-306.3435,-0.428967,0.354903,0.263009,-0.787945,59.87949999999999,114.2264,-322.5771,-0.0757159999999999,0.069396,0.167282,-0.980545
5908,633.0000000000073,38.4612,153.8713,-281.6736,-0.327395,-0.117559,0.005974,0.937527,23.983,135.0487,-306.3013,-0.4291729999999999,0.354461,0.262794,-0.788104,60.092,114.9002,-322.48080000000004,-0.086621,0.070427,0.161625,-0.980517
5909,644.0000000000073,38.4445,153.8989,-281.63800000000003,-0.326813,-0.117995,0.005951,0.937675,23.9371,135.0455,-306.263,-0.429279,0.354195,0.2629869999999999,-0.788101,60.3082,115.5949,-322.3716,-0.0976679999999999,0.071559,0.156244,-0.980269
5910,655.0000000000073,38.4272,153.9256,-281.6062,-0.326045,-0.118381,0.005935,0.937894,23.9017,135.0317,-306.2216,-0.429403,0.354106,0.263421,-0.787928,60.5148,116.2842,-322.2555,-0.1086289999999999,0.072693,0.151515,-0.979775
5911,666.0000000000073,38.409,153.9605,-281.5742,-0.3250369999999999,-0.1188,0.005964,0.938191,23.86599999999999,135.0225,-306.1846,-0.42945,0.354112,0.2636969999999999,-0.787808,60.716800000000006,117.0231,-322.1333,-0.120664,0.073969,0.147439,-0.978893
5912,678.0000000000073,38.3939,153.9991,-281.5381,-0.323831,-0.119075,0.006155,0.938572,23.8285,135.0064,-306.1537,-0.429476,0.354645,0.264319,-0.787346,60.9363,117.78090000000002,-321.9779,-0.133529,0.075796,0.145317,-0.977399
5913,689.0000000000073,38.3768,154.0453,-281.5053,-0.322381,-0.1192609999999999,0.006554,0.939044,23.7996,134.9924,-306.12080000000003,-0.429613,0.354826,0.264819,-0.787021,61.158,118.5437,-321.8035,-0.145594,0.077499,0.144465,-0.975667
